,Ticker,ETF
604,TBLA,IZRL
605,TCOM,QQQJ
606,TCS,ARKF
607,TDC,XSW
608,TDOC,"ARKK,ARKF,ARKG,ARKW"
609,TDY,"ARKQ,ARKX"
610,TEAM,QQQ
611,TECH,QQQJ
612,TENB,"XSW,HACK"
613,TER,"QQQJ,ARKQ,ARKX"
614,TEVA,IZRL
615,TLS,"XSW,HACK"
616,TMUS,QQQ
617,TOST,"XSW,ARKF"
618,TRGP,MTUM
619,TRMB,"QQQJ,ARKQ,ARKX"
620,TSCO,QQQJ
621,TSEM,IZRL
622,TSLA,"QQQ,ARKK,ARKQ,ARKW"
623,TSN,MTUM
624,TSP,"ARKK,ARKQ"
625,TTD,"QQQJ,XSW"
626,TTEC,XSW
627,TTWO,"QQQJ,PSJ,XSW"
628,TWI,FFTY
629,TWKS,XSW
630,TWLO,"ARKK,ARKF,ARKW"
631,TWOU,"ARKK,ARKQ,ARKW"
632,TWST,"ARKK,ARKG"
633,TWTR,"ARKF,ARKW"
634,TXG,"QQQJ,ARKK,ARKG"
635,TXN,QQQ
636,TYL,XSW
637,U,"XSW,ARKK,ARKQ,ARKW,ARKX"
638,UAL,QQQJ
639,UIS,XSW
640,ULE,HACK
641,ULTA,QQQJ
642,UNH,MTUM
643,UPLD,XSW
644,URGN,IZRL
645,USD,MTUM
646,V,XSW
647,VCYT,"ARKK,ARKG,ARKW"
648,VECO,PTF
649,VEEV,ARKG
650,VERV,ARKG
651,VERX,XSW
652,VHC,HACK
653,VIVO,FFTY
654,VLD,"ARKQ,ARKX"
655,VLO,MTUM
656,VMW,XSW
657,VNOM,FFTY
658,VRNS,"XSW,HACK"
659,VRNT,"PSJ,XSW"
660,VRRM,XSW
661,VRSK,QQQ
662,VRSN,"QQQ,HACK"
663,VRTX,"QQQ,MTUM,ARKG,FFTY"
664,VST,MTUM
665,VTRS,QQQJ
666,VUZI,"ARKQ,ARKW"
667,WBA,QQQ
668,WCN,MTUM
669,WDAY,"QQQ,XSW"
670,WDC,QQQJ
671,WELL,MTUM
672,WEX,XSW
673,WIRE,FFTY
674,WIX,IZRL
675,WK,XSW
676,WKME,IZRL
677,WLK,"MTUM,FFTY"
678,WM,MTUM
679,WMB,MTUM
680,WRB,MTUM
681,WU,XSW
682,XEL,QQQ
683,XM,XSW
684,XOM,MTUM
685,XPER,XSW
686,XPEV,ARKQ
687,XRAY,QQQJ
688,Y,MTUM
689,YEXT,XSW
690,YOU,XSW
691,Z,"QQQJ,ARKF"
692,ZBRA,QQQJ
693,ZEN,XSW
694,ZG,QQQJ
695,ZI,"QQQJ,PTF,PSJ"
696,ZIM,FFTY
697,ZM,"QQQ,XSW,ARKK,ARKW"
698,ZS,"QQQ,XSW,HACK"
699,ZUO,XSW
700,ZY,ARKG
