Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
NABL,9.619999885559082,8.119999885559082,15.770000457763672,10.073000097274779,9.7096000289917,9.80730001449585,9.994666697184245,10.265200037956237,Technology | Information Technology Services | USA,130.0,,49.87,7.4,101.5,0.35,2022-08-22,2022-07-20,108.51518386276103,103.38383205384152,,
NCNO,33.200000762939446,23.940000534057607,79.43000030517578,33.51750030517578,33.11120021820069,33.5124001121521,37.323866767883295,41.16130007743836,Technology | Software - Application | USA,,,,49.8,-10.6,0.03,2022-08-18,2022-07-29,105.8266477771176,101.21366731873086,,
NCR,30.739999771118164,27.04999923706055,45.91999816894531,32.3225001335144,31.809200248718266,33.015700016021725,35.24220002492269,36.526599988937384,Technology | Information Technology Services | USA,73.19,18.3,5.62,19.1,296.9,3.54,2022-08-17,2022-07-19,105.9469243227116,100.70360503243664,,
NEM,42.349998474121094,40.27000045776367,86.37000274658203,43.85999984741211,49.060199890136715,59.20209949493408,63.72453297932943,62.49683702468872,Basic Materials | Gold | USA,45.34,,51.89,-0.2,-58.1,2.44,2022-06-29,2022-08-08,82.35263755475295,84.70703786317472,,
NET,61.02000045776367,38.959999084472656,221.63999938964844,68.05750007629395,58.52740005493164,62.08520004272461,77.55653330485026,91.14069984436036,Technology | Software - Infrastructure | USA,,,,53.9,-109.3,0.09,2022-08-22,2022-06-21,138.67396948751792,118.87282423858778,,
NEWR,60.68999862670898,41.65999984741211,129.69999694824222,63.8625,60.016199951171885,56.67979991912842,61.24046658833822,72.33674982070924,Technology | Software - Infrastructure | USA,,,126.41,19.9,-22.9,0.66,2022-08-18,2022-07-20,115.69884865486814,110.53283198684136,,
NFE,57.56999969482422,19.170000076293945,63.06000137329102,58.459075355529784,49.78549392700195,46.43068981170654,41.44739013671875,36.99332436561585,Utilities | Utilities - Regulated Gas | USA,59.78,,,161.3,128.2,4.35,2022-08-26,2022-07-08,134.90489975369087,122.28833906522354,,
NFLX,228.9600067138672,162.7100067138672,700.989990234375,233.43149948120117,215.5544000244141,207.16389999389648,263.9216004435221,339.0541004180908,Communication Services | Entertainment | USA,21.43,2.29,646.63,8.6,81.3,10.74,2022-08-19,2022-05-12,118.67389863810571,109.77613692029148,,
NI,30.440000534057607,23.649999618530273,32.59000015258789,30.626500034332274,29.68086223602295,29.71213726043701,29.650886141459146,28.80183923721313,Utilities | Utilities - Regulated Gas | USA,19.8,2.71,155.8,20.0,773.1,1.55,2022-08-24,2022-07-22,105.02193886137682,102.5472505873497,,
NICE,207.97000122070312,179.1300048828125,319.8800048828125,219.12449951171874,211.6434002685547,205.42909957885743,213.53646626790362,230.73079940795898,Technology | Software - Application | Israel,61.48,5.0,34.04,16.4,0.0,8.33,2022-08-19,2022-07-19,107.96778361152714,104.41386881630746,,
NIO,17.479999542236328,11.670000076293945,44.27000045776367,19.5,20.182600021362305,18.909700012207036,19.72060001373291,22.635950012207037,Consumer Cyclical | Auto Manufacturers | China,,,,24.2,-41.7,-1.09,2022-09-01,2022-08-31,94.79239873908196,99.77148938610908,,
NIU,5.170000076293945,5.039999961853027,30.10000038146973,6.164000058174134,6.693600034713745,7.439500021934509,8.656600014368694,10.689000017642977,Consumer Cyclical | Auto Manufacturers | China,26.24,6.37,,-12.4,32.0,0.77,2022-08-29,2022-08-25,87.20035398783966,88.37907678163384,,
