Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
LBTYK,20.690000534057614,19.81999969482422,30.489999771118164,21.677000045776367,22.076200065612788,23.08659999847412,24.137000071207684,25.01150003433228,Communication Services | Entertainment | United Kingdom,,,,-41.3,,,2022-08-19,2022-07-18,98.37372818421987,96.37548514876936,2022-08-22,2022-08-01
AZPN,221.41000366210938,122.29000091552734,229.6000061035156,215.24300079345704,201.4475994873047,191.0134992980957,177.45746622721353,170.28594970703125,Technology | Software - Application | USA,211.67,11.63,51.87,2.3,39.7,7.64,2022-08-24,2022-07-27,113.58638266603386,109.115261802462,2022-07-11,2022-08-01
DE,372.25,283.80999755859375,446.760009765625,370.4139999389648,339.4868005371094,348.09156219482423,363.30884663899735,362.05935256958014,Industrials | Farm & Heavy Construction Machinery | USA,18.6,1.35,70.18,22.6,118.6,26.14,2022-08-30,2022-07-08,117.30674252086699,108.10991076034362,2022-04-25,2022-08-01
LNT,63.06999969482422,54.20000076293945,65.37000274658203,62.838500022888184,60.418117599487296,59.77877105712891,59.664122161865244,59.26118894577026,Utilities | Utilities - Regulated Electric | USA,22.77,3.61,,15.4,6.5,2.92,2022-08-24,2022-07-25,106.92096831303743,103.93546713068251,2022-06-06,2022-08-01
EBIX,23.670000076293945,12.5,44.41999816894531,24.260240745544433,22.17432392120361,24.59334525108337,26.977148214975998,27.85419250011444,Technology | Software - Application | USA,10.48,1.05,16.91,1.8,-26.3,3.29,2022-09-06,2022-08-30,120.59409423946934,108.69651378791563,2022-04-18,2022-08-01
AZRE,5.869999885559082,3.259999990463257,25.30100059509277,8.237999987602233,10.28199995994568,11.988799977302554,13.650733321507774,14.567599999904633,Utilities | Utilities - Renewable | India,,,,27.2,-66.3,0.76,2022-08-19,2022-07-18,76.7629017016279,77.67112863258447,2022-08-15,2022-08-01
LNG,161.25,84.19000244140625,172.25,162.93399963378906,147.4804658508301,141.20508827209468,137.61548166910808,129.65731895446777,Energy | Oil & Gas Midstream | USA,,,8.55,165.4,191.2,14.89,2022-08-30,2022-07-19,119.28001677139693,111.99500033060872,2022-04-25,2022-08-01
LPLA,231.25999450683602,139.83999633789062,234.94000244140625,225.44141311645507,207.9651434326172,198.05074981689447,192.188046875,185.26897277832032,Financial | Capital Markets | USA,37.33,1.79,126.05,7.4,-3.9,16.73,2022-08-22,2022-07-19,118.63178466200036,111.3060649408058,2022-06-06,2022-07-25
AMD,85.44999694824219,71.5999984741211,164.4600067138672,90.62749977111817,88.80539962768555,90.56269989013671,97.81626658121745,107.5422498703003,Technology | Semiconductors | USA,35.93,1.34,42.5,70.1,24.7,4.89,2022-08-17,2022-07-13,110.01191569274192,102.02844358535415,2022-09-05,2022-07-25
AMAT,96.51000213623048,82.66999816894531,167.05999755859375,99.70555419921877,98.87316452026369,103.1633472442627,111.82423355102542,120.88414577484131,Technology | Semiconductor Equipment & Materials | USA,12.91,1.04,20.61,5.2,63.4,8.04,2022-08-17,2022-07-08,104.97815085297657,99.29387831370951,2022-01-17,2022-07-25
