Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
ABST,10.40999984741211,6.789999961853027,12.619999885559082,10.855900001525876,9.752142124176023,9.001743388175964,8.82353777885437,8.742840650081634,Technology | Software - Application | Canada,,,20.93,65.1,-750.1,-0.02,2022-09-01,2022-08-24,119.22907406668648,114.23488451017842,2022-09-06,2022-07-04
QCOM,126.66999816894531,118.2300033569336,193.5800018310547,141.12277069091797,140.8119267272949,137.489150390625,144.2743873087565,152.42866149902343,Technology | Semiconductors | USA,11.22,1.47,40.75,35.7,74.0,12.95,2022-08-01,2022-06-29,103.1825085692799,101.3534125042396,2022-08-22,2022-07-04
PFE,45.7599983215332,40.93999862670898,61.709999084472656,47.960000228881846,49.81758911132813,49.92986751556396,50.02907145182292,50.94528299331665,Healthcare | Drug Manufacturers - General | USA,8.82,,13.38,46.8,233.6,5.29,2022-07-18,2022-06-27,93.44636855670149,95.98883191592428,2022-07-25,2022-07-04
NTNX,22.1200008392334,13.4399995803833,44.5,18.596000099182127,16.553999996185304,18.475000019073487,21.000666694641108,23.525150032043452,Technology | Software - Infrastructure | USA,,,,17.2,-11.7,0.11,2022-08-30,2022-09-01,122.26274266477549,111.07987755339347,2022-05-09,2022-07-04
MRK,86.41999816894531,70.88999938964844,95.72000122070312,89.24499969482422,90.45559982299805,89.3641506958008,85.68094746907552,83.32886581420898,Healthcare | Drug Manufacturers - General | USA,13.18,1.19,29.15,28.0,173.5,7.46,2022-08-29,2022-08-12,96.66090751790657,99.07561631347878,2022-07-18,2022-07-04
QRVO,88.80000305175781,87.05000305175781,192.9199981689453,100.11350021362307,100.69419998168944,103.97569984436035,112.14399963378906,121.56269958496094,Technology | Semiconductors | USA,12.02,1.2,11.61,-6.8,46.5,10.35,2022-08-18,2022-07-05,101.57302707249413,98.13599495438694,2022-08-22,2022-07-04
PAYO,6.289999961853027,3.3250000476837163,10.84000015258789,6.419499945640564,5.551999979019165,5.016799981594086,4.8841999991734815,5.320950003862381,Technology | Software - Infrastructure | USA,449.29,,97.14,33.6,-75.9,-0.03,2022-08-26,2022-08-25,129.58925767995063,120.31606583402515,2022-06-20,2022-07-04
PSTG,28.729999542236328,20.549999237060547,36.70899963378906,29.89449987411499,28.11759994506836,27.559200019836425,28.437200024922692,28.84785003662109,Technology | Computer Hardware | USA,,,,50.3,52.4,1.3,2022-08-22,2022-07-07,112.7830557383832,107.4571185645605,2022-09-05,2022-07-04
PEP,169.50999450683594,149.47999572753906,181.07000732421875,175.31221542358398,172.01156646728515,169.0569285583496,167.23382039388022,166.95229942321777,Consumer Defensive | Beverages - Non-Alcoholic | USA,25.0,3.13,643.86,5.2,9.9,7.2,2022-08-23,2022-08-12,103.59059608965636,102.63424830447495,2022-08-29,2022-06-27
OPEN,4.2100000381469735,4.0349998474121085,25.32500076293945,4.977749991416932,5.098099994659424,5.930049996376038,6.8938999938964844,8.568724989891052,Real Estate | Real Estate Services | USA,,,,254.1,-138.8,-0.58,2022-08-18,2022-08-03,97.67360635818652,92.36125273954364,2022-06-13,2022-06-27
